smiles,lnHC
 C,15.7
 CC,14.4
 CCC,13.2
 CCCC,12.2
 CC(C)C,11.9
 CC(C)CCCC(CC)(C)CCC,6.12
 CCC(C)C(CC)(C)CCC,9.06
 CC(C)C(CC)C(C)CC(C)C,7.63
 CC(C)CC(C)(CCC)CCCC,15.0
 CCC(CC)C(CC)CCCCC,8.63
 CC(C)C(C)CCCCC(C)C,3.81
 CC(C)CC(CCC)CCCC,12.6
 CC(C)(C)CC(C)C(C)C(C)C,5.02
 CC(C)CC(CCC)C(C)(C)CC,13.0
 CCC(C)C(CC)(C)CCCC,8.1
 CC(C)C(C)C(C(C)C)CCCC,10.5
 CCCC(CC)CCC(C)CCC,7.04
 CC(C)(C)CCC(C)(C)CCCC,4.31
 CC(C)C(CC)(C)CCC,8.61
 CCCC(C)(C)C(C)CCCCC,3.53
 CC(C)C(C)(C)C(C)(C)C(C)C,5.62
 CC(C)C(C)C(CC)C(C)CC,8.66
 CC(C)CC(C)CC(C)C(C)CC,4.15
 CCC(CC)(C)C(C)C(CC)CC,8.01
 CC(C)(C)C(CC)(C)CC(C)CC,8.41
 CC(C)C(C)(C)CCC(C)CCC,3.79
 CC(C)C(C)CCC(C)(C)CCC,3.98
 CC(C)C(C)CCCCCC,5.0
 CC(C)(C)CCCC(C)CCCC,3.38
 CC(C)C(C(C)C)C(CC)C(C)C,6.96
 CCCC(CC)(C(C)C)CCCC,13.8
 CCCCCCCCCCC,5.04
 CC(C)C(C(C)C)CC(C)(C)CC,7.17
 CC(C)(C)CC(CC)CCCC,8.67
 CC(C)CCC(C)C(C)CCC,4.34
 CCC(C)(C)CCCC(CC)CC,5.01
 CC(C)CC(C)(C)C(C)CC(C)C,3.16
 CCC(C)CC(CCC)CCCC,11.6
 CC(C)C(C)(C)C(C)C(CC)CC,4.86
 CC(C)(C)C(C)(C)C(CC)CCC,6.34
 CC(C)(C)CCC(C)(C)CC,5.51
 CC(C)(C)C(C)CCC(CC)CC,5.13
 CC(C)(C)CC(C)(CCC)CCC,14.5
 CC(C)(C)CC(C)CC(C)(C)C,6.22
 CCC(C)(C)CCCCCCCC,3.11
 CCCCCCC,9.32
 CCCC(C(C)C)CCC,11.3
 CCC(C)CCC(C)CCCC,4.73
 CC(C)(C)CC(C)CC(CC)CC,5.94
 CCC(C)(C)C(CCC)CCCC,11.4
