Abbreviation	SMILES	T	HC	lnHC	Zeo
C1	C	523.00	1.44000E-07	1.58000E+01	MRE
C2	CC	523.00	7.01000E-07	1.42000E+01	MRE
C3	CCC	523.00	1.75000E-06	1.33000E+01	MRE
C4	CCCC	523.00	5.28000E-06	1.22000E+01	MRE
2-m-C3	CC(C)C	523.00	9.70000E-07	1.38000E+01	MRE
6-e-2,6-m-C9	CC(C)CCCC(CC)(C)CCC	523.00	8.75000E-13	2.78000E+01	MRE
4-e-3,4-m-C7	CCC(C)C(CC)(C)CCC	523.00	6.59000E-21	4.65000E+01	MRE
3-e-2,4,6-m-C7	CC(C)C(CC)C(C)CC(C)C	523.00	2.07000E-23	5.22000E+01	MRE
2,4-m-4-p-C8	CC(C)CC(C)(CCC)CCCC	523.00	2.96000E-36	8.18000E+01	MRE
3,4-e-C9	CCC(CC)C(CC)CCCCC	523.00	1.31000E-19	4.35000E+01	MRE
2,3,8-m-C9	CC(C)C(C)CCCCC(C)C	523.00	2.62000E-06	1.29000E+01	MRE
2-m-4-p-C8	CC(C)CC(CCC)CCCC	523.00	5.25000E-24	5.36000E+01	MRE
2,2,4,5,6-m-C7	CC(C)(C)CC(C)C(C)C(C)C	523.00	3.38000E-16	3.56000E+01	MRE
2,5,5-m-4-p-C7	CC(C)CC(CCC)C(C)(C)CC	523.00	1.18000E-46	1.06000E+02	MRE
4-e-3,4-m-C8	CCC(C)C(CC)(C)CCCC	523.00	4.13000E-22	4.92000E+01	MRE
2,3-m-4-ip-C8	CC(C)C(C)C(C(C)C)CCCC	523.00	1.39000E-28	6.41000E+01	MRE
4-e-7-m-C10	CCCC(CC)CCC(C)CCC	523.00	1.20000E-08	1.82000E+01	MRE
2,2,5,5-m-C9	CC(C)(C)CCC(C)(C)CCCC	523.00	4.36000E-07	1.46000E+01	MRE
3-e-2,3-m-C6	CC(C)C(CC)(C)CCC	523.00	5.68000E-22	4.89000E+01	MRE
4,4,5-m-C10	CCCC(C)(C)C(C)CCCCC	523.00	2.51000E-10	2.21000E+01	MRE
2,3,3,4,4,5-m-C6	CC(C)C(C)(C)C(C)(C)C(C)C	523.00	6.48000E-31	6.95000E+01	MRE
4-e-2,3,5-m-C7	CC(C)C(C)C(CC)C(C)CC	523.00	3.57000E-25	5.63000E+01	MRE
2,4,6,7-m-C9	CC(C)CC(C)CC(C)C(C)CC	523.00	4.65000E-10	2.15000E+01	MRE
