Abbreviation	SMILES	T	HC	lnHC	Zeo
C1	C	523.00	1.250E-07	1.590E+01	MTT
C2	CC	523.00	4.230E-07	1.470E+01	MTT
C3	CCC	523.00	7.630E-07	1.410E+01	MTT
C4	CCCC	523.00	1.090E-06	1.370E+01	MTT
2-m-C3	CC(C)C	523.00	8.210E-07	1.400E+01	MTT
6-e-2,6-m-C9	CC(C)CCCC(CC)(C)CCC	523.00	1.070E-06	1.370E+01	MTT
4-e-3,4-m-C7	CCC(C)C(CC)(C)CCC	523.00	1.330E-11	2.500E+01	MTT
3-e-2,4,6-m-C7	CC(C)C(CC)C(C)CC(C)C	523.00	7.600E-12	2.560E+01	MTT
2,4-m-4-p-C8	CC(C)CC(C)(CCC)CCCC	523.00	7.440E-25	5.560E+01	MTT
3,4-e-C9	CCC(CC)C(CC)CCCCC	523.00	1.540E-15	3.410E+01	MTT
2,3,8-m-C9	CC(C)C(C)CCCCC(C)C	523.00	1.200E-07	1.590E+01	MTT
2-m-4-p-C8	CC(C)CC(CCC)CCCC	523.00	1.260E-19	4.350E+01	MTT
2,2,4,5,6-m-C7	CC(C)(C)CC(C)C(C)C(C)C	523.00	2.190E-10	2.220E+01	MTT
2,5,5-m-4-p-C7	CC(C)CC(CCC)C(C)(C)CC	523.00	7.270E-35	7.860E+01	MTT
4-e-3,4-m-C8	CCC(C)C(CC)(C)CCCC	523.00	7.300E-12	2.560E+01	MTT
2,3-m-4-ip-C8	CC(C)C(C)C(C(C)C)CCCC	523.00	3.390E-19	4.250E+01	MTT
4-e-7-m-C10	CCCC(CC)CCC(C)CCC	523.00	1.290E-09	2.050E+01	MTT
2,2,5,5-m-C9	CC(C)(C)CCC(C)(C)CCCC	523.00	1.180E-08	1.830E+01	MTT
3-e-2,3-m-C6	CC(C)C(CC)(C)CCC	523.00	5.170E-12	2.600E+01	MTT
4,4,5-m-C10	CCCC(C)(C)C(C)CCCCC	523.00	3.610E-08	1.710E+01	MTT
2,3,3,4,4,5-m-C6	CC(C)C(C)(C)C(C)(C)C(C)C	523.00	8.090E-36	8.080E+01	MTT
4-e-2,3,5-m-C7	CC(C)C(C)C(CC)C(C)CC	523.00	4.320E-17	3.770E+01	MTT
2,4,6,7-m-C9	CC(C)CC(C)CC(C)C(C)CC	523.00	3.520E-07	1.490E+01	MTT
