smiles,lnHC
C,15.7
CC,14.3
CCC,13.1
CCCC,12.1
CC(C)C,12.6
CC(C)CCCC(CC)(C)CCC,11.6
CCC(C)C(CC)(C)CCC,20.6
CC(C)C(CC)C(C)CC(C)C,15.6
CC(C)CC(C)(CCC)CCCC,29.1
CCC(CC)C(CC)CCCCC,17.5
CC(C)C(C)CCCCC(C)C,6.45
CC(C)CC(CCC)CCCC,22.4
CC(C)(C)CC(C)C(C)C(C)C,13.9
CC(C)CC(CCC)C(C)(C)CC,36.2
CCC(C)C(CC)(C)CCCC,20.3
CC(C)C(C)C(C(C)C)CCCC,35.3
CCCC(CC)CCC(C)CCC,11.2
CC(C)(C)CCC(C)(C)CCCC,15.7
CC(C)C(CC)(C)CCC,21
CCCC(C)(C)C(C)CCCCC,9.75
CC(C)C(C)(C)C(C)(C)C(C)C,37.5
CC(C)C(C)C(CC)C(C)CC,21.3
CC(C)CC(C)CC(C)C(C)CC,8.51
CCC(CC)(C)C(C)C(CC)CC,27.8
CC(C)(C)C(CC)(C)CC(C)CC,28.3
CC(C)C(C)(C)CCC(C)CCC,11.7
CC(C)C(C)CCC(C)(C)CCC,10.5
CC(C)C(C)CCCCCC,6.19
CC(C)(C)CCCC(C)CCCC,6.84
CC(C)C(C(C)C)C(CC)C(C)C,59
CCCC(CC)(C(C)C)CCCC,36.2
CCCCCCCCCCC,3.08
CC(C)C(C(C)C)CC(C)(C)CC,34.1
CC(C)(C)CC(CC)CCCC,17.9
CC(C)CCC(C)C(C)CCC,5.34
CCC(C)(C)CCCC(CC)CC,11.4
CC(C)CC(C)(C)C(C)CC(C)C,13.5
CCC(C)CC(CCC)CCCC,21.8
CC(C)C(C)(C)C(C)C(CC)CC,26.6
CC(C)(C)C(C)(C)C(CC)CCC,34.8
CC(C)(C)CCC(C)(C)CC,16.5
CC(C)(C)C(C)CCC(CC)CC,12
CC(C)(C)CC(C)(CCC)CCC,32.1
CC(C)(C)CC(C)CC(C)(C)C,16.2
CCC(C)(C)CCCCCCCC,6.64
CCCCCCC,8.28
CCCC(C(C)C)CCC,23.3
CCC(C)CCC(C)CCCC,5.41
CC(C)(C)CC(C)CC(CC)CC,16.6
CCC(C)(C)C(CCC)CCCC,28.8
CC(C)(C)CCCCCCC,8.21
CC(C)(C)CC(C)C,14
CCCCC(C)(C)CCCCCC,7.2
CCC(C)CC(CCC)CCC,21.1
CCCC(C)(CCC)C(C)CCC,30
CCC(CC)C(CC)C(CC)CC,36.9
CCCC(C)C(CC)(C)CCCC,19.5
CC(C)C(C)CC(C)(C)CC,12.6
CC(C)(C)C(C)CCCC(C)CC,9.07
CCCCC(C)C(C)CCCCC,3.48
CC(C)C(CC)CCCC(C)C,12.1
CC(C)CC(C)CCCCCCC,4.53
CC(C)(C)C(CC)C(C)C(C)CC,29.8
CC(C)C(C)CCC,10.1
CCC(C)C(C)(C)CC(C)CCC,13.6
CC(C)C(C)CC(C)C,10.6
CCC(C)(C)CCC(C)CCCC,9.39
CCC(CC)(CC)C(C)CC,26.4
CC(C)(C)CCCC(C)C(C)CC,8.3
CCCCCCCC,7
CC(C)CCCCCCCC(C)C,2.29
CCC(CC)(C)C(C)(C)CCC,23.9
CC(C)CC(CC)CC(C)C,18.4
CC(C)C(C)CC(C)(C)C(C)CC,14.2
CC(C)CC(C)(C(C)C)CCC,36.8
CC(C)CC(C(C)C)CC(C)C,39.9
CCC(C)(C)C(C)C(CC)CCC,24.5
CC(C)C(C)C(C)(C)C(C)C(C)C,25.5
CC(C)(C)C(C)CCCCCCC,7.97
CCC(CC)CC(CCC)CCC,23.5
CC(C)C(CC)(CC)C(C)CC,41.6
CCCC(C)C(C)C(C)CCCC,7.02
CCC(C)CC(C(C)C)CCC,26.3
CC(C)(C)C(CC)(C)CCC,26.9
CCCCC(C(C)CC)CCCC,33.7
CC(C)(C)CCC(C)C,12.2
CC(C)CCC(C)C(CC)CCC,11.5
CC(C)C(C)(C)CCC,15.2
CCCC(CC)(CC)C(C)CCC,30.4
CC(C)C(C)C(CC)C(CC)CC,31.7
CCC(CC)(C)C(C)(C)CC,22.1
CC(C)(C)CC(C)CCC(C)CC,11.1
CC(C)CCCCCC(C)C,5.42
CC(C)CC(C)C(C)(C)CCC,13.6
CC(C)(C)C(C(C)C)C(C)C(C)C,58.8
CCC(C)(C)C(CC)C(C)(C)CC,32.5
CCC(CC)C(C)(C)CC(C)CC,19
CC(C)(C)CC(CC)CC,14.8
CC(C)C(CC)CC,14.1
CCCCC(C(C)(C)C)CCCC,37.5
CCCC(C)CCC,9.28
CC(C)C(CC)(CC)C(C)(C)CC,57.8
CC(C)C(C)CC(C)C(C)(C)CC,15.3
CC(C)(C)CC(C)(C)CCCC,16.6
CC(C)CCCCC(CC)CCC,9.52
CC(C)CC(C)(C)C(CC)(C)CC,27.1
CC(C)C(C)(C)C(C)C(C)CCC,23.2
CCCC(C)(C)CCCC,11.4
CCCCCCCCCC,4.38
